username,followers,created_at,tweet_text
Covid19Rtn,120,2020-03-24 12:51:01,"1 New death in Norway. Total deaths in Norway: 12
1 New death in San Marino. Total deaths in San Marino: 21

#Covid_19 #COVID2019"
Covid19Rtn,120,2020-03-24 12:51:01,"45 New cases in Sweden. Total cases in Sweden: 2104
205 New cases in Saudi Arabia. Total cases in Saudi Arabia: 767

#Covid_19 #COVID2019"
Covid19Rtn,120,2020-03-24 12:51:01,"194 New cases in Germany. Total cases in Germany: 30344
68 New cases in Norway. Total cases in Norway: 2715

#Covid_19 #COVID2019"
socratext,6384,2020-03-24 12:50:57,@REButterworth Yes great colleagues like @UKDCP vice chair @JPFaulconbridge &amp; @romanpsych chair elect &amp; the I dont… https://t.co/6zYZSEtAsg
Naveen_Guptaa,1559,2020-03-24 12:50:53,"Now, New York has 21,000 plus Corona virus cases.

#CoronavirusLockdown #COVIDー19 #COVID2019 #NewYork #Hantavirus https://t.co/O6sY1c7KPk"
fernandovegas01,82,2020-03-24 12:50:47,"Cumpare&amp;SCumpare ™

#24marzo #COVID2019 https://t.co/NKqkvCj4hi"
moto_suo,61,2020-03-24 12:50:47,"Or Urao Mazak. Laddan Jafri denied to tell Cure of Corona virus 😥😥😥
#COVID19Pakistan #Hantavirus #COVIDIDIOTS… https://t.co/uKUcD7f4Q0"
WORLDvsCOVID19,267,2020-03-24 12:50:47,"Olympic Games to be postponed until 2021
#COVID2019 #COVID19"
Eddiehold,176,2020-03-24 12:50:41,.@ouraring being positioned in an early detection role for #COVID2019 as it can track wearer's temperature. Sounds… https://t.co/AM0kjLzd0Q
nhm_assam,1269,2020-03-24 12:50:40,"Dial 104 to know more about COVID-19. 
Share facts. Not myths.
#IndiaFightsCorona #COVID2019 https://t.co/Ltht9zFkc6"
maturedones,0,2020-03-24 12:50:39,"I think.. the last official announcement , this human race will get.. is. .. 
Internet and mobile services will be… https://t.co/kZFcxWb8Ee"
HenryObada,143,2020-03-24 12:50:39,Make a commitment to learn something new this period of #COVID2019. After it all passes away. You’ll be glad. #QurantineLife
ImRupalGautam,23,2020-03-24 12:50:34,"In game of #ludo we are safe when we are at home.
Same as in the game of Saving world from #CoronaVirus we are safe… https://t.co/1bdDKT5OLP"
UsmanCh79309126,166,2020-03-24 12:50:31,"When Clampdown is being observed across World, due 2 outbreak of #COVID2019 hue and cry is high
people are dying da… https://t.co/wstTuDrUqn"
subsane_,5,2020-03-24 12:50:30,Last update showed 562 positive cases of coronavirus in India. No update since morning. Can anyone tell the total n… https://t.co/6ohxSXBlnR
sbajpai2811,1602,2020-03-24 12:50:28,"#Hantavirus kills man in #China, spreads fear, but it's not a new virus

A Chinese man died due to #हंता_वायरस , sp… https://t.co/0woyDGNBXE"
Strapmeuppark,9276,2020-03-24 12:50:24,"@elJimperor Rand does have some completion in stupidity category.
There is insider trading Burr, of NC.
Then there… https://t.co/pP0mlPmtQD"
ranamehulj,1190,2020-03-24 12:50:24,"Collector Ahmedabad has immediately &amp; on same day , granted RS 1 Crore “ Sansad Nidhi ( MPLAD) “ for urgent purchas… https://t.co/PIBpGwQ843"
kavazed,83,2020-03-24 12:50:19,Is the random chimp event upon us? #PewDiePie #randomchimpevent #chimps #COVID2019 @pewdiepie #CoronavirusOutbreak… https://t.co/Vau0KLFzmK
CaritadeAimen,466,2020-03-24 12:50:14,These anchors are just showing their owkaaattttt #COVID19Pakistan #CoronavirusLockdown #ASTAGHFIRULLAH #LockdownNow… https://t.co/LaEILFN95Z
thatcrybabygal,1732,2020-03-24 12:50:14,humanity vs #COVID2019 and #Hantavirus https://t.co/1qxsnmGgpg
